filename,source_pdf,ma_so,period,style,width,height,cell_index,total_cells,hoa_si,mieu_ta,nguon_goc
HVDV_-_NGN_-_AO_-_037_crop_01.png,HVDV - NGN - AO - 037_ver_02.pdf,HVDV - NGN - AO - 037,Nguyen,line_art,2152,2152,1,2,Võ Quỳnh Trâm,"Loan ổ, thêu trên sa","Áo ngũ thân sa kép công chúa, phục dựng bởi nghệ nhân Vũ Văn Giỏi,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_037_crop_02.png,HVDV - NGN - AO - 037_ver_02.pdf,HVDV - NGN - AO - 037,Nguyen,colored,2152,2152,2,2,Võ Quỳnh Trâm,"Loan ổ, thêu trên sa","Áo ngũ thân sa kép công chúa, phục dựng bởi nghệ nhân Vũ Văn Giỏi,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_038_crop_01.png,HVDV - NGN - AO - 038_ver_02.pdf,HVDV - NGN - AO - 038,Nguyen,line_art,1328,1734,1,2,Võ Quỳnh Trâm,"Tam sơn thủy ba, dệt trên đoạn","áo ngũ thân hoàng tử, phục dựng bởi nghệ nhân Vũ Văn Giỏi,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_038_crop_02.png,HVDV - NGN - AO - 038_ver_02.pdf,HVDV - NGN - AO - 038,Nguyen,colored,1324,1734,2,2,Võ Quỳnh Trâm,"Tam sơn thủy ba, dệt trên đoạn","áo ngũ thân hoàng tử, phục dựng bởi nghệ nhân Vũ Văn Giỏi,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_039_crop_01.png,HVDV - NGN - AO - 039_ver_01.pdf,HVDV - NGN - AO - 039,Nguyen,colored,1290,1722,1,1,Võ Quỳnh Trâm,Hạc thêu trên sa,"áo ngũ thân sa kép công chúa, phục dựng bởi NN Vũ Văn Gioi,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_040_crop_01.png,HVDV - NGN - AO - 040_ver_03.pdf,HVDV - NGN - AO - 040,Nguyen,line_art,2121,2120,1,3,Võ Quỳnh Trâm,Mẫu đơn thêu trên đoạn,"áo tấc của vua Khải Định, bộ sưu tập áo dài TS Thái Kim Lan, người  Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_040_crop_02.png,HVDV - NGN - AO - 040_ver_03.pdf,HVDV - NGN - AO - 040,Nguyen,colored,2121,2120,2,3,Võ Quỳnh Trâm,Mẫu đơn thêu trên đoạn,"áo tấc của vua Khải Định, bộ sưu tập áo dài TS Thái Kim Lan, người  Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_040_crop_03.png,HVDV - NGN - AO - 040_ver_03.pdf,HVDV - NGN - AO - 040,Nguyen,colored,1820,2120,3,3,Võ Quỳnh Trâm,Mẫu đơn thêu trên đoạn,"áo tấc của vua Khải Định, bộ sưu tập áo dài TS Thái Kim Lan, người  Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_097_crop_01.png,HVDV - NGN - AO - 097_ver_03.pdf,HVDV - NGN - AO - 097,Nguyen,line_art,2199,1210,1,3,Võ Quỳnh Trâm,Phật thủ và lựu dệt trên đoạn,"áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_097_crop_02.png,HVDV - NGN - AO - 097_ver_03.pdf,HVDV - NGN - AO - 097,Nguyen,colored,2199,1211,2,3,Võ Quỳnh Trâm,Phật thủ và lựu dệt trên đoạn,"áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_097_crop_03.png,HVDV - NGN - AO - 097_ver_03.pdf,HVDV - NGN - AO - 097,Nguyen,colored,2199,848,3,3,Võ Quỳnh Trâm,Phật thủ và lựu dệt trên đoạn,"áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh Nguyễn Tấn"
